Product_ID,Category,Sub_Category,Product_Name
TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System
FUR-CH-10003950,Furniture,Chairs,Novimex Executive Leather Armchair
TEC-PH-10004664,Technology,Phones,Nokia Smart Phone
TEC-PH-10004583,Technology,Phones,Motorola Smart Phone
TEC-SHA-10000501,Technology,Copiers,Sharp Wireless Fax
TEC-PH-10000030,Technology,Phones,Samsung Smart Phone
FUR-CH-10004050,Furniture,Chairs,Novimex Executive Leather Armchair
FUR-TA-10002958,Furniture,Tables,Chromcraft Conference Table
OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases
OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener
FUR-TA-10001889,Furniture,Tables,Bevis Conference Table
TEC-CIS-10001717,Technology,Phones,Cisco Smart Phone
FUR-CH-10002033,Furniture,Chairs,Harbour Creations Executive Leather Armchair
OFF-AP-10003500,Office Supplies,Appliances,KitchenAid Microwave
OFF-AP-10000423,Office Supplies,Appliances,Breville Refrigerator
TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard
OFF-AP-10004512,Office Supplies,Appliances,Hoover Stove
TEC-CO-10000865,Technology,Copiers,Brother Fax Machine
OFF-KIT-10004058,Office Supplies,Appliances,KitchenAid Stove
FUR-HON-10000224,Furniture,Tables,Hon Computer Table
TEC-PH-10001363,Technology,Phones,Apple iPhone 5S
FUR-CH-10000027,Furniture,Chairs,SAFCO Executive Leather Armchair
OFF-AP-10003590,Office Supplies,Appliances,KitchenAid Refrigerator
TEC-PH-10004182,Technology,Phones,Motorola Smart Phone
FUR-TA-10002827,Furniture,Tables,Hon Computer Table
FUR-TA-10004744,Furniture,Tables,Lesro Conference Table
TEC-PH-10002885,Technology,Phones,Apple iPhone 5
FUR-CH-10001415,Furniture,Chairs,Office Star Executive Leather Armchair
TEC-PH-10002815,Technology,Phones,Samsung Smart Phone
TEC-MA-10000161,Technology,Machines,Okidata Inkjet
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall
OFF-AP-10004246,Office Supplies,Appliances,Breville Stove
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
TEC-APP-10000308,Technology,Phones,Apple Smart Phone
TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder
TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print
TEC-CO-10000013,Technology,Copiers,Brother Fax Machine
TEC-PH-10000499,Technology,Phones,Motorola Smart Phone
TEC-PH-10003856,Technology,Phones,Motorola Smart Phone
FUR-BO-10004852,Furniture,Bookcases,Sauder Classic Bookcase
OFF-AP-10000486,Office Supplies,Appliances,Cuisinart Stove
OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System
FUR-CH-10003365,Furniture,Chairs,Office Star Executive Leather Armchair
FUR-CH-10000602,Furniture,Chairs,Novimex Executive Leather Armchair
TEC-MA-10002680,Technology,Machines,Konica Inkjet
FUR-CH-10000891,Furniture,Chairs,Harbour Creations Executive Leather Armchair
TEC-CAN-10003392,Technology,Copiers,Canon Copy Machine
TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier
FUR-BO-10001372,Furniture,Bookcases,Safco Classic Bookcase
TEC-MOT-10002272,Technology,Phones,Motorola Smart Phone
TEC-CO-10004997,Technology,Copiers,Hewlett Wireless Fax
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier
FUR-TA-10000226,Furniture,Tables,Chromcraft Conference Table
OFF-AP-10002244,Office Supplies,Appliances,Breville Refrigerator
TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3
FUR-BO-10001073,Furniture,Bookcases,Safco Classic Bookcase
TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer
TEC-PH-10002035,Technology,Phones,Samsung Smart Phone
TEC-PH-10002565,Technology,Phones,Apple Audio Dock
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
FUR-BO-10004999,Furniture,Bookcases,Safco Classic Bookcase
FUR-TA-10001205,Furniture,Tables,Chromcraft Wood Table
TEC-PH-10004196,Technology,Phones,Samsung Smart Phone
FUR-CHR-10001018,Furniture,Tables,Chromcraft Round Table
FUR-CH-10003232,Furniture,Chairs,Harbour Creations Executive Leather Armchair
OFF-AP-10001630,Office Supplies,Appliances,Hamilton Beach Microwave
FUR-HAR-10002873,Furniture,Chairs,Harbour Creations Executive Leather Armchair
FUR-TA-10000687,Furniture,Tables,Bevis Conference Table
TEC-PH-10004505,Technology,Phones,Nokia Smart Phone
TEC-PH-10002683,Technology,Phones,Apple Smart Phone
TEC-CO-10002269,Technology,Copiers,Brother Ink
TEC-CO-10002526,Technology,Copiers,Sharp Wireless Fax
FUR-CH-10002891,Furniture,Chairs,Hon Executive Leather Armchair
TEC-CAN-10001437,Technology,Copiers,Canon Wireless Fax
OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System
TEC-PH-10004327,Technology,Phones,Motorola Smart Phone
OFF-AP-10001621,Office Supplies,Appliances,Hamilton Beach Refrigerator
OFF-HOO-10001881,Office Supplies,Appliances,Hoover Stove
TEC-CO-10001954,Technology,Copiers,Brother Wireless Fax
FUR-BO-10003282,Furniture,Bookcases,Ikea Classic Bookcase
TEC-CO-10003102,Technology,Copiers,Canon Copy Machine
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables
OFF-AP-10002552,Office Supplies,Appliances,Hamilton Beach Stove
TEC-MOT-10000554,Technology,Phones,Motorola Smart Phone
FUR-TA-10003627,Furniture,Tables,Bevis Conference Table
FUR-BO-10001133,Furniture,Bookcases,Ikea Classic Bookcase
TEC-MA-10003515,Technology,Machines,Panasonic Printer
OFF-AP-10002904,Office Supplies,Appliances,Hamilton Beach Refrigerator
TEC-MOT-10003348,Technology,Phones,Motorola Smart Phone
TEC-PH-10001990,Technology,Phones,Cisco Smart Phone
TEC-PH-10002898,Technology,Phones,Samsung Smart Phone
TEC-CO-10001633,Technology,Copiers,Sharp Fax Machine
TEC-PH-10002623,Technology,Phones,Cisco Smart Phone
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables
FUR-BO-10001498,Furniture,Bookcases,Dania Classic Bookcase
OFF-AP-10003598,Office Supplies,Appliances,Breville Refrigerator
FUR-CH-10001582,Furniture,Chairs,Office Star Executive Leather Armchair
TEC-MA-10001047,Technology,Machines,3D Systems Cube Printer
TEC-PH-10000505,Technology,Phones,Apple Smart Phone
FUR-BO-10002003,Furniture,Bookcases,Sauder Classic Bookcase
TEC-CO-10001775,Technology,Copiers,Sharp Wireless Fax
OFF-AP-10000647,Office Supplies,Appliances,Hoover Refrigerator
TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer
TEC-CO-10001926,Technology,Copiers,Hewlett Wireless Fax
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock
FUR-CH-10002203,Furniture,Chairs,SAFCO Executive Leather Armchair
FUR-BO-10001934,Furniture,Bookcases,Bush Library with Doors
TEC-CO-10000562,Technology,Copiers,HP Wireless Fax
TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color"
OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System
TEC-CO-10002035,Technology,Copiers,Canon Wireless Fax
TEC-CO-10004099,Technology,Copiers,Sharp Fax Machine
TEC-PH-10003002,Technology,Phones,Cisco Smart Phone
FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table"
TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier
FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
TEC-CO-10004398,Technology,Copiers,Brother Copy Machine
